year,type,continent,country,value,adj_value
2015,Exports,Australia,Papua New Guinea,207.793894,207.793894
2015,Exports,Australia,New Zealand,3631.061903,3631.061903
2015,Exports,Australia,Cook Islands,4.249826,4.249826
2015,Exports,Australia,Tokelau,0.341222,0.341222
2015,Exports,Australia,Niue,0.071371,0.071371
2015,Exports,Australia,Samoa,22.71966,22.71966
2015,Exports,Australia,Solomon Islands,5.861309,5.861309
2015,Exports,Australia,Vanuatu,5.867876,5.867876
2015,Exports,Australia,Pitcairn Islands,0.017405,0.017405
2015,Exports,Australia,Kiribati,7.320835,7.320835
2015,Exports,Australia,Tuvalu,0.625636,0.625636
2015,Exports,Australia,New Caledonia,88.651277,88.651277
2015,Exports,Australia,Wallis and Futuna,0.376841,0.376841
2015,Exports,Australia,French Polynesia,120.047865,120.047865
2015,Exports,Australia,Marshall Islands,53.912135,53.912135
2015,Exports,Australia,Micronesia,40.032614,40.032614
2015,Exports,Australia,Palau,25.693198,25.693198
2015,Exports,Australia,Nauru,1.73365,1.73365
2015,Exports,Australia,Fiji,56.904585,56.904585
2015,Exports,Australia,Tonga,13.817538,13.817538
2015,Exports,Africa,Morocco,1625.204959,1625.204959
2015,Exports,Africa,Algeria,1875.734479,1875.734479
2015,Exports,Africa,Tunisia,602.412017,602.412017
2015,Exports,Africa,Libya,242.951645,242.951645
2015,Exports,Africa,Egypt,4752.983685,4752.983685
2015,Exports,Africa,Sudan,59.514997,59.514997
2015,Exports,Africa,South Sudan,19.613532,19.613532
2015,Exports,Africa,Western Sahara,0.032113,0.032113
2015,Exports,Africa,Equatorial Guinea,161.964373,161.964373
2015,Exports,Africa,Mauritania,126.280667,126.280667
2015,Exports,Africa,Cameroon,224.961698,224.961698
2015,Exports,Africa,Senegal,196.428411,196.428411
2015,Exports,Africa,Mali,72.426079,72.426079
2015,Exports,Africa,Guinea,135.350114,135.350114
2015,Exports,Africa,Sierra Leone,77.325724,77.325724
2015,Exports,Africa,Cote d'Ivoire,266.335569,266.335569
2015,Exports,Africa,Ghana,949.913963,949.913963
2015,Exports,Africa,Gambia,37.899622,37.899622
2015,Exports,Africa,Niger,71.493157,71.493157
2015,Exports,Africa,Togo,311.819809,311.819809
2015,Exports,Africa,Nigeria,3437.952784,3437.952784
2015,Exports,Africa,Central African Republic,34.309874,34.309874
2015,Exports,Africa,Gabon,203.872443,203.872443
2015,Exports,Africa,Chad,56.591528,56.591528
2015,Exports,Africa,St Helena,3.720487,3.720487
2015,Exports,Africa,Burkina Faso,53.875343,53.875343
2015,Exports,Africa,Benin,631.462518,631.462518
2015,Exports,Africa,Angola,1166.161667,1166.161667
2015,Exports,Africa,Congo (Brazzaville),249.220232,249.220232
2015,Exports,Africa,Guinea-Bissau,2.13532,2.13532
2015,Exports,Africa,Cabo Verde,7.32166,7.32166
2015,Exports,Africa,Sao Tome and Principe,0.853963,0.853963
2015,Exports,Africa,Liberia,135.807551,135.807551
2015,Exports,Africa,Congo (Kinshasa),136.189374,136.189374
2015,Exports,Africa,Burundi,5.650192,5.650192
2015,Exports,Africa,Rwanda,14.28771,14.28771
2015,Exports,Africa,Somalia,45.026584,45.026584
2015,Exports,Africa,Eritrea,3.497538,3.497538
2015,Exports,Africa,Ethiopia,1555.249376,1555.249376
2015,Exports,Africa,Djibouti,144.711021,144.711021
2015,Exports,Africa,Uganda,88.315069,88.315069
2015,Exports,Africa,Kenya,943.436657,943.436657
2015,Exports,Africa,Seychelles,18.542809,18.542809
2015,Exports,Africa,British Indian Ocean Terr.,0.581016,0.581016
2015,Exports,Africa,Tanzania,172.803054,172.803054
2015,Exports,Africa,Mauritius,58.435311,58.435311
2015,Exports,Africa,Mozambique,264.203995,264.203995
2015,Exports,Africa,Madagascar,54.553731,54.553731
2015,Exports,Africa,Mayotte,5.697333,5.697333
2015,Exports,Africa,Comoros,1.507078,1.507078
2015,Exports,Africa,Reunion,6.905271,6.905271
2015,Exports,Africa,French Southern and Antarctic,8.026602,8.026602
2015,Exports,Africa,South Africa,5458.29362,5458.29362
2015,Exports,Africa,Namibia,127.603603,127.603603
2015,Exports,Africa,Botswana,39.04197,39.04197
2015,Exports,Africa,Zambia,84.170835,84.170835
2015,Exports,Africa,Swaziland,28.521751,28.521751
2015,Exports,Africa,Zimbabwe,37.834783,37.834783
2015,Exports,Africa,Malawi,37.201602,37.201602
2015,Exports,Africa,Lesotho,0.881897,0.881897
1985,Imports,North America,Canada,69006.4,152007.2979
1985,Imports,North America,Mexico,19131.7,42143.30876
1985,Imports,North America,Guatemala,409,900.9452
1985,Imports,North America,El Salvador,395.6,871.42768
1985,Imports,North America,Honduras,375.4,826.93112
1985,Imports,North America,Costa Rica,501.3,1104.26364
1985,Imports,North America,Panama,410.6,904.46968
1985,Imports,North America,Bahamas,626.3,1379.61364
1985,Imports,North America,Jamaica,272.7,600.70356
1985,Imports,North America,Haiti,389.6,858.21088
1985,Imports,North America,Dominican Republic,982.3,2163.81044
1985,Imports,North America,Trinidad and Tobago,1258.4,2772.00352
1985,Imports,North America,Netherlands Antilles,808,1779.8624
1985,Imports,South America,Colombia,1330.7,2931.26596
1985,Imports,South America,Venezuela,6537.1,14399.92388
1985,Imports,South America,Ecuador,1836.5,4045.4422
1985,Imports,South America,Peru,1086.6,2393.56248
1985,Imports,South America,Chile,745.2,1641.52656
1985,Imports,South America,Brazil,7526.2,16578.71336
1985,Imports,South America,Paraguay,23.6,51.98608
1985,Imports,South America,Uruguay,556.6,1226.07848
1985,Imports,South America,Argentina,1069.3,2355.45404
1985,Imports,Europe,Iceland,247.8,545.85384
1985,Imports,Europe,Sweden,4123.7,9083.68636
1985,Imports,Europe,Norway,1164.3,2564.72004
1985,Imports,Europe,Finland,895.2,1971.94656
1985,Imports,Europe,Denmark,1664.4,3666.34032
1985,Imports,Europe,United Kingdom,14937.2,32903.66416
1985,Imports,Europe,Ireland,901.1,1984.94308
1985,Imports,Europe,Netherlands,4081.3,8990.28764
1985,Imports,Europe,Belgium,3355.2,7390.83456
1985,Imports,Europe,France,9482,20886.9496
1985,Imports,Europe,Germany,20239.2,44582.90976
1985,Imports,Europe,Austria,833.7,1836.47436
1985,Imports,Europe,Hungary,218.3,480.87124
1985,Imports,Europe,Switzerland,3476.1,7657.15308
1985,Imports,Europe,Poland,220.2,485.05656
1985,Imports,Europe,USSR,408.5,899.8438
1985,Imports,Europe,Spain,2515.2,5540.48256
1985,Imports,Europe,Portugal,546,1202.7288
1985,Imports,Europe,Italy,9673.8,21309.44664
1985,Imports,Europe,Yugoslavia (former),542.2,1194.35816
1985,Imports,Europe,Greece,394.7,869.44516
1985,Imports,Asia,Turkey,601.9,1325.86532
1985,Imports,Asia,Iran,725.1,1597.25028
1985,Imports,Asia,Israel,2122.5,4675.443
1985,Imports,Asia,Kuwait,184,405.3152
1985,Imports,Asia,Saudi Arabia,1907.1,4200.95988
1985,Imports,Asia,United Arab Emirates,671,1478.0788
1985,Imports,Asia,Bahrain,83.3,183.49324
1985,Imports,Asia,India,2294.7,5054.76516
1985,Imports,Asia,Pakistan,273.9,603.34692
1985,Imports,Asia,Bangladesh,196,431.7488
1985,Imports,Asia,Sri Lanka,281.9,620.96932
1985,Imports,Asia,Thailand,1428.3,3146.25924
1985,Imports,Asia,Malaysia,2299.9,5066.21972
1985,Imports,Asia,Singapore,4259.9,9383.70772
1985,Imports,Asia,Indonesia,4568.9,10064.37292
1985,Imports,Asia,Philippines,2145,4725.006
1985,Imports,Asia,Macau,341.9,753.13732
1985,Imports,Asia,China,3861.7,8506.55276
1985,Imports,Asia,Korea South,10013.3,22057.29724
1985,Imports,Asia,Hong Kong,8396.4,18495.58992
1985,Imports,Asia,Taiwan,16396.3,36117.76964
1985,Imports,Asia,Japan,68782.9,151514.9721
1985,Imports,Australia,Australia,2836.3,6247.80164
1985,Imports,Australia,New Zealand,857,1887.7996
1985,Imports,Africa,Algeria,2333,5139.1324
1985,Imports,Africa,Egypt,79.1,174.24148
1985,Imports,Africa,Cote d'Ivoire,524.8,1156.02944
1985,Imports,Africa,Nigeria,3001.9,6612.58532
1985,Imports,Africa,Gabon,501.9,1105.58532
1985,Imports,Africa,Angola,1053.6,2320.87008
1985,Imports,Africa,Congo (Brazzaville),609.3,1342.16604
1985,Imports,Africa,Congo (Kinshasa),400.7,882.66196
1985,Imports,Africa,South Africa,2070.9,4561.77852
1985,Exports,North America,Canada,47251,104084.5028
1985,Exports,North America,Mexico,13634.7,30034.51716
1985,Exports,North America,Guatemala,404.6,891.25288
1985,Exports,North America,El Salvador,445.5,981.3474
1985,Exports,North America,Honduras,307.9,678.24212
1985,Exports,North America,Costa Rica,421.7,928.92076
1985,Exports,North America,Panama,674.8,1486.44944
1985,Exports,North America,Bahamas,786.3,1732.06164
1985,Exports,North America,Jamaica,404.3,890.59204
1985,Exports,North America,Haiti,395.9,872.08852
1985,Exports,North America,Dominican Republic,742,1634.4776
1985,Exports,North America,Trinidad and Tobago,503.7,1109.55036
1985,Exports,North America,Netherlands Antilles,427.5,941.697
1985,Exports,South America,Colombia,1467.7,3233.04956
1985,Exports,South America,Venezuela,3399.4,7488.19832
1985,Exports,South America,Ecuador,591.1,1302.07508
1985,Exports,South America,Peru,495.9,1092.36852
1985,Exports,South America,Chile,682.2,1502.75016
1985,Exports,South America,Brazil,3139.6,6915.91088
1985,Exports,South America,Paraguay,98.9,217.85692
1985,Exports,South America,Uruguay,64.3,141.64004
1985,Exports,South America,Argentina,721.3,1588.87964
1985,Exports,Europe,Iceland,38,83.7064
1985,Exports,Europe,Sweden,1924.9,4240.16972
1985,Exports,Europe,Norway,665.9,1466.84452
1985,Exports,Europe,Finland,437.7,964.16556
1985,Exports,Europe,Denmark,705.7,1554.51596
1985,Exports,Europe,United Kingdom,11272.8,24831.72384
1985,Exports,Europe,Ireland,1341.8,2955.71704
1985,Exports,Europe,Netherlands,7269,16012.1532
1985,Exports,Europe,Belgium,4917.7,10832.70956
1985,Exports,Europe,France,6095.6,13427.38768
1985,Exports,Europe,Germany,9050.2,19935.78056
1985,Exports,Europe,Austria,441.2,971.87536
1985,Exports,Europe,Hungary,94.5,208.1646
1985,Exports,Europe,Switzerland,2287.7,5039.34556
1985,Exports,Europe,Poland,237.9,524.04612
1985,Exports,Europe,USSR,2422.8,5336.94384
1985,Exports,Europe,Spain,2524.1,5560.08748
